# word	AvgPosScore	AvgNegScore
unrecognizable	0.0	0.625
fragrance	0.3125	0.125
preeminently	0.125	0.0
ruralism	0.125	0.0
corrected	0.0	0.625
phlegmatically	0.25	0.0
tested	0.5	0.0
lameness	0.1875	0.25
nomad	0.0	0.25
nonviolent	0.0	0.375
doom	0.0	0.75
uncool	0.0	0.875
negativity	0.0	0.583333333333
unreverberant	0.125	0.375
cuddlesome	0.375	0.0
unversed	0.0	0.5
centrifugal	0.125	0.375
knocker	0.125	0.125
psychophysiology	0.375	0.0
learn	0.25	0.0625
grope	0.166666666667	0.166666666667
scramble	0.125	0.0625
mercedario	0.125	0.0
rumple	0.125	0.0625
voltarean	0.375	0.0
bogy	0.444	0.556
allegro	0.375	0.0
nephroblastoma	0.125	0.25
concordant	0.125	0.375
prostration	0.25	0.5
hostaceae	0.0	0.25
huge	0.0	0.125
respective	0.25	0.0
bareheaded	0.125	0.0
strawworm	0.0	0.5
viand	0.125	0.0
dotard	0.375	0.25
expectedness	0.25	0.375
unbaffled	0.0	0.5
lanky	0.25	0.0
thickened	0.0	0.125
disgraced	0.0	0.5
highbinder	0.125	0.375
variant	0.125	0.5
startlingly	0.25	0.0
mendacity	0.125	0.5
malevolent	0.1875	0.5625
lanthanotidae	0.125	0.0
twisting	0.0	0.125
protestation	0.25	0.0
immunosuppressed	0.5	0.0
everlastingly	0.125	0.125
wooly	0.0833333333333	0.166666666667
sertraline	0.0	0.125
peppy	0.375	0.0
smiling	0.3125	0.1875
cheerfulness	0.5	0.375
saucy	0.25	0.1875
mistreated	0.0	0.625
tantalizingly	0.25	0.0
bangle	0.0	0.25
stricture	0.0	0.4375
leucaemia	0.125	0.5
neuropsychological	0.125	0.0
bypast	0.125	0.25
shuddering	0.0	0.125
bummer	0.125	0.4375
sauce	0.125	0.0
focussed	0.375	0.0
invigorator	0.375	0.0
nemertina	0.375	0.0
unstated	0.0	0.375
universality	0.375	0.375
bigheaded	0.125	0.75
excise	0.0	0.375
shitless	0.0	0.375
barefaced	0.375	0.25
weedy	0.1875	0.25
granadilla	0.25	0.0
majolica	0.25	0.0
overemphasise	0.125	0.0
courser	0.125	0.0
piping	0.0	0.125
shocking	0.1875	0.3125
audenesque	0.5	0.0
brunette	0.0	0.25
hypochondriacal	0.0	0.625
incapableness	0.0	0.5
treasonably	0.25	0.0
